sample_name,dataset,SUPER,SUB
HG01879,GnomAD,AFR,ACB
HG01882,GnomAD,AFR,ACB
HG01883,GnomAD,AFR,ACB
HG01885,GnomAD,AFR,ACB
HG01886,GnomAD,AFR,ACB
HG01889,GnomAD,AFR,ACB
HG01890,GnomAD,AFR,ACB
HG01894,GnomAD,AFR,ACB
HG01896,GnomAD,AFR,ACB
HG01912,GnomAD,AFR,ACB
HG01914,GnomAD,AFR,ACB
HG01915,GnomAD,AFR,ACB
HG01956,GnomAD,AFR,ACB
HG01958,GnomAD,AFR,ACB
HG01985,GnomAD,AFR,ACB
HG01986,GnomAD,AFR,ACB
HG01988,GnomAD,AFR,ACB
HG01989,GnomAD,AFR,ACB
HG01990,GnomAD,AFR,ACB
HG02009,GnomAD,AFR,ACB
HG02010,GnomAD,AFR,ACB
HG02012,GnomAD,AFR,ACB
HG02013,GnomAD,AFR,ACB
HG02014,GnomAD,AFR,ACB
HG02051,GnomAD,AFR,ACB
HG02052,GnomAD,AFR,ACB
HG02053,GnomAD,AFR,ACB
HG02054,GnomAD,AFR,ACB
HG02095,GnomAD,AFR,ACB
HG02107,GnomAD,AFR,ACB
HG02108,GnomAD,AFR,ACB
HG02111,GnomAD,AFR,ACB
HG02143,GnomAD,AFR,ACB
HG02144,GnomAD,AFR,ACB
HG02255,GnomAD,AFR,ACB
HG02256,GnomAD,AFR,ACB
HG02281,GnomAD,AFR,ACB
HG02282,GnomAD,AFR,ACB
HG02283,GnomAD,AFR,ACB
HG02284,GnomAD,AFR,ACB
HG02307,GnomAD,AFR,ACB
HG02308,GnomAD,AFR,ACB
HG02309,GnomAD,AFR,ACB
HG02314,GnomAD,AFR,ACB
HG02315,GnomAD,AFR,ACB
HG02317,GnomAD,AFR,ACB
HG02318,GnomAD,AFR,ACB
HG02322,GnomAD,AFR,ACB
HG02323,GnomAD,AFR,ACB
HG02325,GnomAD,AFR,ACB
HG02330,GnomAD,AFR,ACB
HG02332,GnomAD,AFR,ACB
HG02334,GnomAD,AFR,ACB
HG02337,GnomAD,AFR,ACB
HG02339,GnomAD,AFR,ACB
HG02343,GnomAD,AFR,ACB
HG02419,GnomAD,AFR,ACB
HG02420,GnomAD,AFR,ACB
HG02427,GnomAD,AFR,ACB
HG02429,GnomAD,AFR,ACB
HG02433,GnomAD,AFR,ACB
HG02439,GnomAD,AFR,ACB
HG02442,GnomAD,AFR,ACB
HG02445,GnomAD,AFR,ACB
HG02449,GnomAD,AFR,ACB
HG02450,GnomAD,AFR,ACB
HG02455,GnomAD,AFR,ACB
HG02461,GnomAD,AFR,GWD
HG02462,GnomAD,AFR,GWD
HG02464,GnomAD,AFR,GWD
HG02465,GnomAD,AFR,GWD
HG02470,GnomAD,AFR,ACB
HG02471,GnomAD,AFR,ACB
HG02476,GnomAD,AFR,ACB
HG02477,GnomAD,AFR,ACB
HG02481,GnomAD,AFR,ACB
HG02484,GnomAD,AFR,ACB
HG02485,GnomAD,AFR,ACB
HG02489,GnomAD,AFR,ACB
HG02496,GnomAD,AFR,ACB
HG02497,GnomAD,AFR,ACB
HG02501,GnomAD,AFR,ACB
HG02502,GnomAD,AFR,ACB
HG02505,GnomAD,AFR,ACB
HG02508,GnomAD,AFR,ACB
HG02511,GnomAD,AFR,ACB
HG02536,GnomAD,AFR,ACB
HG02537,GnomAD,AFR,ACB
HG02541,GnomAD,AFR,ACB
HG02545,GnomAD,AFR,ACB
HG02546,GnomAD,AFR,ACB
HG02549,GnomAD,AFR,ACB
HG02554,GnomAD,AFR,ACB
HG02555,GnomAD,AFR,ACB
HG02557,GnomAD,AFR,ACB
HG02558,GnomAD,AFR,ACB
HG02561,GnomAD,AFR,GWD
HG02562,GnomAD,AFR,GWD
HG02569,GnomAD,AFR,GWD
HG02570,GnomAD,AFR,GWD
HG02571,GnomAD,AFR,GWD
HG02573,GnomAD,AFR,GWD
HG02574,GnomAD,AFR,GWD
HG02577,GnomAD,AFR,ACB
HG02580,GnomAD,AFR,ACB
HG02582,GnomAD,AFR,GWD
HG02583,GnomAD,AFR,GWD
HG02585,GnomAD,AFR,GWD
HG02586,GnomAD,AFR,GWD
HG02588,GnomAD,AFR,GWD
HG02589,GnomAD,AFR,GWD
HG02594,GnomAD,AFR,GWD
HG02595,GnomAD,AFR,GWD
HG02610,GnomAD,AFR,GWD
HG02611,GnomAD,AFR,GWD
HG02613,GnomAD,AFR,GWD
HG02614,GnomAD,AFR,GWD
HG02620,GnomAD,AFR,GWD
HG02621,GnomAD,AFR,GWD
HG02625,GnomAD,AFR,GWD
HG02628,GnomAD,AFR,GWD
HG02629,GnomAD,AFR,GWD
HG02634,GnomAD,AFR,GWD
HG02635,GnomAD,AFR,GWD
HG02642,GnomAD,AFR,GWD
HG02643,GnomAD,AFR,GWD
HG02645,GnomAD,AFR,GWD
HG02646,GnomAD,AFR,GWD
HG02666,GnomAD,AFR,GWD
HG02667,GnomAD,AFR,GWD
HG02675,GnomAD,AFR,GWD
HG02676,GnomAD,AFR,GWD
HG02678,GnomAD,AFR,GWD
HG02679,GnomAD,AFR,GWD
HG02702,GnomAD,AFR,GWD
HG02703,GnomAD,AFR,GWD
HG02715,GnomAD,AFR,GWD
HG02716,GnomAD,AFR,GWD
HG02721,GnomAD,AFR,GWD
HG02722,GnomAD,AFR,GWD
HG02756,GnomAD,AFR,GWD
HG02757,GnomAD,AFR,GWD
HG02759,GnomAD,AFR,GWD
HG02760,GnomAD,AFR,GWD
HG02762,GnomAD,AFR,GWD
HG02763,GnomAD,AFR,GWD
HG02768,GnomAD,AFR,GWD
HG02769,GnomAD,AFR,GWD
HG02771,GnomAD,AFR,GWD
HG02772,GnomAD,AFR,GWD
HG02798,GnomAD,AFR,GWD
HG02799,GnomAD,AFR,GWD
HG02804,GnomAD,AFR,GWD
HG02805,GnomAD,AFR,GWD
HG02807,GnomAD,AFR,GWD
HG02808,GnomAD,AFR,GWD
HG02810,GnomAD,AFR,GWD
HG02811,GnomAD,AFR,GWD
HG02813,GnomAD,AFR,GWD
HG02814,GnomAD,AFR,GWD
HG02816,GnomAD,AFR,GWD
HG02817,GnomAD,AFR,GWD
HG02819,GnomAD,AFR,GWD
HG02820,GnomAD,AFR,GWD
HG02836,GnomAD,AFR,GWD
HG02837,GnomAD,AFR,GWD
HG02839,GnomAD,AFR,GWD
HG02840,GnomAD,AFR,GWD
HG02851,GnomAD,AFR,GWD
HG02852,GnomAD,AFR,GWD
HG02854,GnomAD,AFR,GWD
HG02855,GnomAD,AFR,GWD
HG02860,GnomAD,AFR,GWD
HG02861,GnomAD,AFR,GWD
HG02871,GnomAD,AFR,GWD
HG02878,GnomAD,AFR,GWD
HG02879,GnomAD,AFR,GWD
HG02881,GnomAD,AFR,GWD
HG02882,GnomAD,AFR,GWD
HG02884,GnomAD,AFR,GWD
HG02885,GnomAD,AFR,GWD
HG02887,GnomAD,AFR,GWD
HG02888,GnomAD,AFR,GWD
HG02890,GnomAD,AFR,GWD
HG02891,GnomAD,AFR,GWD
HG02895,GnomAD,AFR,GWD
HG02896,GnomAD,AFR,GWD
HG02922,GnomAD,AFR,ESN
HG02923,GnomAD,AFR,ESN
HG02938,GnomAD,AFR,ESN
HG02941,GnomAD,AFR,ESN
HG02943,GnomAD,AFR,ESN
HG02944,GnomAD,AFR,ESN
HG02946,GnomAD,AFR,ESN
HG02947,GnomAD,AFR,ESN
HG02952,GnomAD,AFR,ESN
HG02953,GnomAD,AFR,ESN
HG02964,GnomAD,AFR,ESN
HG02965,GnomAD,AFR,ESN
HG02968,GnomAD,AFR,ESN
HG02970,GnomAD,AFR,ESN
HG02971,GnomAD,AFR,ESN
HG02973,GnomAD,AFR,ESN
HG02974,GnomAD,AFR,ESN
HG02976,GnomAD,AFR,ESN
HG02977,GnomAD,AFR,ESN
HG02979,GnomAD,AFR,ESN
HG02981,GnomAD,AFR,ESN
HG02982,GnomAD,AFR,GWD
HG02983,GnomAD,AFR,GWD
HG03024,GnomAD,AFR,GWD
HG03025,GnomAD,AFR,GWD
HG03027,GnomAD,AFR,GWD
HG03028,GnomAD,AFR,GWD
HG03033,GnomAD,AFR,GWD
HG03034,GnomAD,AFR,GWD
HG03039,GnomAD,AFR,GWD
HG03040,GnomAD,AFR,GWD
HG03045,GnomAD,AFR,GWD
HG03046,GnomAD,AFR,GWD
HG03048,GnomAD,AFR,GWD
HG03049,GnomAD,AFR,GWD
HG03052,GnomAD,AFR,MSL
HG03054,GnomAD,AFR,MSL
HG03055,GnomAD,AFR,MSL
HG03057,GnomAD,AFR,MSL
HG03058,GnomAD,AFR,MSL
HG03060,GnomAD,AFR,MSL
HG03061,GnomAD,AFR,MSL
HG03063,GnomAD,AFR,MSL
HG03064,GnomAD,AFR,MSL
HG03066,GnomAD,AFR,MSL
HG03069,GnomAD,AFR,MSL
HG03072,GnomAD,AFR,MSL
HG03073,GnomAD,AFR,MSL
HG03074,GnomAD,AFR,MSL
HG03077,GnomAD,AFR,MSL
HG03078,GnomAD,AFR,MSL
HG03079,GnomAD,AFR,MSL
HG03081,GnomAD,AFR,MSL
HG03082,GnomAD,AFR,MSL
HG03084,GnomAD,AFR,MSL
HG03085,GnomAD,AFR,MSL
HG03086,GnomAD,AFR,MSL
HG03088,GnomAD,AFR,MSL
HG03091,GnomAD,AFR,MSL
HG03095,GnomAD,AFR,MSL
HG03098,GnomAD,AFR,MSL
HG03099,GnomAD,AFR,ESN
HG03100,GnomAD,AFR,ESN
HG03103,GnomAD,AFR,ESN
HG03105,GnomAD,AFR,ESN
HG03108,GnomAD,AFR,ESN
HG03109,GnomAD,AFR,ESN
HG03111,GnomAD,AFR,ESN
HG03112,GnomAD,AFR,ESN
HG03114,GnomAD,AFR,ESN
HG03115,GnomAD,AFR,ESN
HG03117,GnomAD,AFR,ESN
HG03118,GnomAD,AFR,ESN
HG03120,GnomAD,AFR,ESN
HG03121,GnomAD,AFR,ESN
HG03123,GnomAD,AFR,ESN
HG03124,GnomAD,AFR,ESN
HG03126,GnomAD,AFR,ESN
HG03127,GnomAD,AFR,ESN
HG03129,GnomAD,AFR,ESN
HG03130,GnomAD,AFR,ESN
HG03132,GnomAD,AFR,ESN
HG03133,GnomAD,AFR,ESN
HG03135,GnomAD,AFR,ESN
HG03136,GnomAD,AFR,ESN
HG03139,GnomAD,AFR,ESN
HG03157,GnomAD,AFR,ESN
HG03159,GnomAD,AFR,ESN
HG03160,GnomAD,AFR,ESN
HG03162,GnomAD,AFR,ESN
HG03163,GnomAD,AFR,ESN
HG03166,GnomAD,AFR,ESN
HG03168,GnomAD,AFR,ESN
HG03169,GnomAD,AFR,ESN
HG03172,GnomAD,AFR,ESN
HG03175,GnomAD,AFR,ESN
HG03189,GnomAD,AFR,ESN
HG03190,GnomAD,AFR,ESN
HG03193,GnomAD,AFR,ESN
HG03195,GnomAD,AFR,ESN
HG03196,GnomAD,AFR,ESN
HG03198,GnomAD,AFR,ESN
HG03199,GnomAD,AFR,ESN
HG03202,GnomAD,AFR,ESN
HG03209,GnomAD,AFR,MSL
HG03212,GnomAD,AFR,MSL
HG03224,GnomAD,AFR,MSL
HG03225,GnomAD,AFR,MSL
HG03240,GnomAD,AFR,GWD
HG03241,GnomAD,AFR,GWD
HG03246,GnomAD,AFR,GWD
HG03247,GnomAD,AFR,GWD
HG03249,GnomAD,AFR,GWD
HG03258,GnomAD,AFR,GWD
HG03259,GnomAD,AFR,GWD
HG03265,GnomAD,AFR,ESN
HG03267,GnomAD,AFR,ESN
HG03268,GnomAD,AFR,ESN
HG03270,GnomAD,AFR,ESN
HG03271,GnomAD,AFR,ESN
HG03279,GnomAD,AFR,ESN
HG03280,GnomAD,AFR,ESN
HG03291,GnomAD,AFR,ESN
HG03294,GnomAD,AFR,ESN
HG03295,GnomAD,AFR,ESN
HG03297,GnomAD,AFR,ESN
HG03298,GnomAD,AFR,ESN
HG03302,GnomAD,AFR,ESN
HG03303,GnomAD,AFR,ESN
HG03304,GnomAD,AFR,ESN
HG03306,GnomAD,AFR,ESN
HG03307,GnomAD,AFR,ESN
HG03309,GnomAD,AFR,ESN
HG03311,GnomAD,AFR,ESN
HG03312,GnomAD,AFR,ESN
HG03313,GnomAD,AFR,ESN
HG03342,GnomAD,AFR,ESN
HG03343,GnomAD,AFR,ESN
HG03350,GnomAD,AFR,ESN
HG03354,GnomAD,AFR,ESN
HG03363,GnomAD,AFR,ESN
HG03366,GnomAD,AFR,ESN
HG03367,GnomAD,AFR,ESN
HG03369,GnomAD,AFR,ESN
HG03370,GnomAD,AFR,ESN
HG03372,GnomAD,AFR,ESN
HG03373,GnomAD,AFR,ESN
HG03376,GnomAD,AFR,MSL
HG03378,GnomAD,AFR,MSL
HG03380,GnomAD,AFR,MSL
HG03382,GnomAD,AFR,MSL
HG03385,GnomAD,AFR,MSL
HG03388,GnomAD,AFR,MSL
HG03391,GnomAD,AFR,MSL
HG03394,GnomAD,AFR,MSL
HG03397,GnomAD,AFR,MSL
HG03401,GnomAD,AFR,MSL
HG03410,GnomAD,AFR,MSL
HG03419,GnomAD,AFR,MSL
HG03428,GnomAD,AFR,MSL
HG03432,GnomAD,AFR,MSL
HG03433,GnomAD,AFR,MSL
HG03436,GnomAD,AFR,MSL
HG03437,GnomAD,AFR,MSL
HG03439,GnomAD,AFR,MSL
HG03442,GnomAD,AFR,MSL
HG03445,GnomAD,AFR,MSL
HG03446,GnomAD,AFR,MSL
HG03449,GnomAD,AFR,MSL
HG03451,GnomAD,AFR,MSL
HG03452,GnomAD,AFR,MSL
HG03454,GnomAD,AFR,MSL
HG03455,GnomAD,AFR,MSL
HG03458,GnomAD,AFR,MSL
HG03460,GnomAD,AFR,MSL
HG03461,GnomAD,AFR,MSL
HG03469,GnomAD,AFR,MSL
HG03470,GnomAD,AFR,MSL
HG03472,GnomAD,AFR,MSL
HG03473,GnomAD,AFR,MSL
HG03476,GnomAD,AFR,MSL
HG03480,GnomAD,AFR,MSL
HG03484,GnomAD,AFR,MSL
HG03485,GnomAD,AFR,MSL
HG03499,GnomAD,AFR,ESN
HG03514,GnomAD,AFR,ESN
HG03515,GnomAD,AFR,ESN
HG03517,GnomAD,AFR,ESN
HG03518,GnomAD,AFR,ESN
HG03520,GnomAD,AFR,ESN
HG03521,GnomAD,AFR,ESN
HG03538,GnomAD,AFR,GWD
HG03539,GnomAD,AFR,GWD
HG03547,GnomAD,AFR,MSL
HG03548,GnomAD,AFR,MSL
HG03556,GnomAD,AFR,MSL
HG03557,GnomAD,AFR,MSL
HG03558,GnomAD,AFR,MSL
HG03559,GnomAD,AFR,MSL
HG03563,GnomAD,AFR,MSL
HG03565,GnomAD,AFR,MSL
HG03567,GnomAD,AFR,MSL
HG03571,GnomAD,AFR,MSL
HG03572,GnomAD,AFR,MSL
HG03576,GnomAD,AFR,MSL
HG03577,GnomAD,AFR,MSL
HG03578,GnomAD,AFR,MSL
HG03582,GnomAD,AFR,MSL
HG03583,GnomAD,AFR,MSL
