sample_name,dataset,SUPER,SUB
HGDP00450,GnomAD,AFR,MbutiPygmy
HGDP00453,GnomAD,AFR,BiakaPygmy
HGDP00454,GnomAD,AFR,BiakaPygmy
HGDP00455,GnomAD,AFR,BiakaPygmy
HGDP00458,GnomAD,AFR,BiakaPygmy
HGDP00459,GnomAD,AFR,BiakaPygmy
HGDP00460,GnomAD,AFR,BiakaPygmy
HGDP00462,GnomAD,AFR,MbutiPygmy
HGDP00463,GnomAD,AFR,MbutiPygmy
HGDP00464,GnomAD,AFR,BiakaPygmy
HGDP00465,GnomAD,AFR,BiakaPygmy
HGDP00466,GnomAD,AFR,BiakaPygmy
HGDP00467,GnomAD,AFR,MbutiPygmy
HGDP00469,GnomAD,AFR,BiakaPygmy
HGDP00470,GnomAD,AFR,BiakaPygmy
HGDP00471,GnomAD,AFR,MbutiPygmy
HGDP00472,GnomAD,AFR,BiakaPygmy
HGDP00473,GnomAD,AFR,BiakaPygmy
HGDP00475,GnomAD,AFR,BiakaPygmy
HGDP00478,GnomAD,AFR,MbutiPygmy
HGDP00904,GnomAD,AFR,Mandenka
HGDP00905,GnomAD,AFR,Mandenka
HGDP00906,GnomAD,AFR,Mandenka
HGDP00907,GnomAD,AFR,Mandenka
HGDP00908,GnomAD,AFR,Mandenka
HGDP00909,GnomAD,AFR,Mandenka
HGDP00910,GnomAD,AFR,Mandenka
HGDP00911,GnomAD,AFR,Mandenka
HGDP00912,GnomAD,AFR,Mandenka
HGDP00914,GnomAD,AFR,Mandenka
HGDP00916,GnomAD,AFR,Mandenka
HGDP00917,GnomAD,AFR,Mandenka
HGDP00918,GnomAD,AFR,Mandenka
HGDP00919,GnomAD,AFR,Mandenka
HGDP00920,GnomAD,AFR,Yoruba
HGDP00924,GnomAD,AFR,Yoruba
HGDP00925,GnomAD,AFR,Yoruba
HGDP00926,GnomAD,AFR,Yoruba
HGDP00929,GnomAD,AFR,Yoruba
HGDP00930,GnomAD,AFR,Yoruba
HGDP00931,GnomAD,AFR,Yoruba
HGDP00933,GnomAD,AFR,Yoruba
HGDP00934,GnomAD,AFR,Yoruba
HGDP00935,GnomAD,AFR,Yoruba
HGDP00937,GnomAD,AFR,Yoruba
HGDP00938,GnomAD,AFR,Yoruba
HGDP00939,GnomAD,AFR,Yoruba
HGDP00940,GnomAD,AFR,Yoruba
HGDP00941,GnomAD,AFR,Yoruba
HGDP00942,GnomAD,AFR,Yoruba
HGDP00943,GnomAD,AFR,Yoruba
HGDP00944,GnomAD,AFR,Yoruba
HGDP00983,GnomAD,AFR,MbutiPygmy
HGDP00984,GnomAD,AFR,MbutiPygmy
HGDP00985,GnomAD,AFR,BiakaPygmy
HGDP00986,GnomAD,AFR,BiakaPygmy
HGDP00992,GnomAD,AFR,San
HGDP00993,GnomAD,AFR,BantuSouthAfrica
HGDP00994,GnomAD,AFR,BantuSouthAfrica
HGDP01029,GnomAD,AFR,San
HGDP01031,GnomAD,AFR,BantuSouthAfrica
HGDP01033,GnomAD,AFR,BantuSouthAfrica
HGDP01081,GnomAD,AFR,MbutiPygmy
HGDP01086,GnomAD,AFR,BiakaPygmy
HGDP01090,GnomAD,AFR,BiakaPygmy
HGDP01092,GnomAD,AFR,BiakaPygmy
HGDP01094,GnomAD,AFR,BiakaPygmy
HGDP01200,GnomAD,AFR,Mandenka
HGDP01201,GnomAD,AFR,Mandenka
HGDP01202,GnomAD,AFR,Mandenka
HGDP01283,GnomAD,AFR,Mandenka
HGDP01405,GnomAD,AFR,BantuKenya
HGDP01406,GnomAD,AFR,BantuKenya
HGDP01408,GnomAD,AFR,BantuKenya
HGDP01413,GnomAD,AFR,BantuKenya
HGDP01415,GnomAD,AFR,BantuKenya
HGDP01416,GnomAD,AFR,BantuKenya
HGDP01418,GnomAD,AFR,BantuKenya
HGDP01419,GnomAD,AFR,BantuKenya
LP6005441-DNA_A08,GnomAD,AFR,MbutiPygmy
LP6005441-DNA_A11,GnomAD,AFR,San
LP6005441-DNA_B02,GnomAD,AFR,BantuKenya
LP6005441-DNA_B08,GnomAD,AFR,MbutiPygmy
LP6005441-DNA_B11,GnomAD,AFR,San
LP6005441-DNA_E07,GnomAD,AFR,Mandenka
LP6005441-DNA_F01,GnomAD,AFR,BantuSouthAfrica
LP6005441-DNA_H02,GnomAD,AFR,BiakaPygmy
LP6005442-DNA_A02,GnomAD,AFR,Yoruba
LP6005442-DNA_B02,GnomAD,AFR,Yoruba
LP6005443-DNA_A01,GnomAD,AFR,BantuKenya
LP6005443-DNA_E02,GnomAD,AFR,BantuSouthAfrica
LP6005443-DNA_F02,GnomAD,AFR,BantuSouthAfrica
LP6005443-DNA_G02,GnomAD,AFR,BantuSouthAfrica
LP6005443-DNA_G08,GnomAD,AFR,San
LP6005592-DNA_C03,GnomAD,AFR,MbutiPygmy
NA18486,GnomAD,AFR,YRI
NA18487,GnomAD,AFR,YRI
NA18488,GnomAD,AFR,YRI
NA18489,GnomAD,AFR,YRI
NA18498,GnomAD,AFR,YRI
NA18499,GnomAD,AFR,YRI
NA18501,GnomAD,AFR,YRI
NA18502,GnomAD,AFR,YRI
NA18504,GnomAD,AFR,YRI
NA18505,GnomAD,AFR,YRI
NA18507,GnomAD,AFR,YRI
NA18508,GnomAD,AFR,YRI
NA18510,GnomAD,AFR,YRI
NA18511,GnomAD,AFR,YRI
NA18516,GnomAD,AFR,YRI
NA18517,GnomAD,AFR,YRI
NA18519,GnomAD,AFR,YRI
NA18520,GnomAD,AFR,YRI
NA18522,GnomAD,AFR,YRI
NA18523,GnomAD,AFR,YRI
NA18852,GnomAD,AFR,YRI
NA18853,GnomAD,AFR,YRI
NA18855,GnomAD,AFR,YRI
NA18856,GnomAD,AFR,YRI
NA18858,GnomAD,AFR,YRI
NA18859,GnomAD,AFR,YRI
NA18861,GnomAD,AFR,YRI
NA18862,GnomAD,AFR,YRI
NA18865,GnomAD,AFR,YRI
NA18867,GnomAD,AFR,YRI
NA18868,GnomAD,AFR,YRI
NA18870,GnomAD,AFR,YRI
NA18871,GnomAD,AFR,YRI
NA18873,GnomAD,AFR,YRI
NA18874A,GnomAD,AFR,YRI
NA18876,GnomAD,AFR,YRI
NA18877,GnomAD,AFR,YRI
NA18878,GnomAD,AFR,YRI
NA18879,GnomAD,AFR,YRI
NA18881,GnomAD,AFR,YRI
NA18907,GnomAD,AFR,YRI
NA18908,GnomAD,AFR,YRI
NA18909,GnomAD,AFR,YRI
NA18910,GnomAD,AFR,YRI
NA18912,GnomAD,AFR,YRI
NA18913,GnomAD,AFR,YRI
NA18915,GnomAD,AFR,YRI
NA18916,GnomAD,AFR,YRI
NA18917,GnomAD,AFR,YRI
NA18923,GnomAD,AFR,YRI
NA18924,GnomAD,AFR,YRI
NA18933,GnomAD,AFR,YRI
NA18934,GnomAD,AFR,YRI
NA19017,GnomAD,AFR,LWK
NA19019,GnomAD,AFR,LWK
NA19020,GnomAD,AFR,LWK
NA19023,GnomAD,AFR,LWK
NA19024,GnomAD,AFR,LWK
NA19026,GnomAD,AFR,LWK
NA19027,GnomAD,AFR,LWK
NA19028,GnomAD,AFR,LWK
NA19030,GnomAD,AFR,LWK
NA19031,GnomAD,AFR,LWK
NA19035,GnomAD,AFR,LWK
NA19036,GnomAD,AFR,LWK
NA19037,GnomAD,AFR,LWK
NA19038,GnomAD,AFR,LWK
NA19041,GnomAD,AFR,LWK
NA19043,GnomAD,AFR,LWK
NA19092,GnomAD,AFR,YRI
NA19093,GnomAD,AFR,YRI
NA19095,GnomAD,AFR,YRI
NA19096,GnomAD,AFR,YRI
NA19098,GnomAD,AFR,YRI
NA19099,GnomAD,AFR,YRI
NA19102,GnomAD,AFR,YRI
NA19107,GnomAD,AFR,YRI
NA19108,GnomAD,AFR,YRI
NA19113,GnomAD,AFR,YRI
NA19114,GnomAD,AFR,YRI
NA19116,GnomAD,AFR,YRI
NA19117,GnomAD,AFR,YRI
NA19118,GnomAD,AFR,YRI
NA19119,GnomAD,AFR,YRI
NA19121,GnomAD,AFR,YRI
NA19122,GnomAD,AFR,YRI
NA19127,GnomAD,AFR,YRI
NA19128,GnomAD,AFR,YRI
NA19130,GnomAD,AFR,YRI
NA19131,GnomAD,AFR,YRI
NA19137,GnomAD,AFR,YRI
NA19138,GnomAD,AFR,YRI
NA19140,GnomAD,AFR,YRI
NA19141,GnomAD,AFR,YRI
NA19143,GnomAD,AFR,YRI
NA19144,GnomAD,AFR,YRI
NA19146,GnomAD,AFR,YRI
NA19147,GnomAD,AFR,YRI
NA19149,GnomAD,AFR,YRI
NA19150,GnomAD,AFR,YRI
NA19152,GnomAD,AFR,YRI
NA19153,GnomAD,AFR,YRI
NA19159,GnomAD,AFR,YRI
NA19160,GnomAD,AFR,YRI
NA19171,GnomAD,AFR,YRI
NA19172,GnomAD,AFR,YRI
NA19177,GnomAD,AFR,YRI
NA19184,GnomAD,AFR,YRI
NA19185,GnomAD,AFR,YRI
NA19189,GnomAD,AFR,YRI
NA19190,GnomAD,AFR,YRI
NA19197,GnomAD,AFR,YRI
NA19198,GnomAD,AFR,YRI
NA19200,GnomAD,AFR,YRI
NA19201,GnomAD,AFR,YRI
NA19203,GnomAD,AFR,YRI
NA19204,GnomAD,AFR,YRI
NA19206,GnomAD,AFR,YRI
NA19207,GnomAD,AFR,YRI
NA19209,GnomAD,AFR,YRI
NA19210,GnomAD,AFR,YRI
NA19213,GnomAD,AFR,YRI
NA19214,GnomAD,AFR,YRI
NA19222,GnomAD,AFR,YRI
NA19223,GnomAD,AFR,YRI
NA19224,GnomAD,AFR,YRI
NA19235,GnomAD,AFR,YRI
NA19236,GnomAD,AFR,YRI
NA19239,GnomAD,AFR,YRI
NA19247,GnomAD,AFR,YRI
NA19248,GnomAD,AFR,YRI
NA19256,GnomAD,AFR,YRI
NA19257,GnomAD,AFR,YRI
NA19308,GnomAD,AFR,LWK
NA19309,GnomAD,AFR,LWK
NA19310,GnomAD,AFR,LWK
NA19312,GnomAD,AFR,LWK
NA19314,GnomAD,AFR,LWK
NA19315,GnomAD,AFR,LWK
NA19316,GnomAD,AFR,LWK
NA19317,GnomAD,AFR,LWK
NA19318,GnomAD,AFR,LWK
NA19319,GnomAD,AFR,LWK
NA19320,GnomAD,AFR,LWK
NA19321,GnomAD,AFR,LWK
NA19323,GnomAD,AFR,LWK
NA19324,GnomAD,AFR,LWK
NA19327,GnomAD,AFR,LWK
NA19328,GnomAD,AFR,LWK
NA19331,GnomAD,AFR,LWK
NA19338,GnomAD,AFR,LWK
NA19346,GnomAD,AFR,LWK
NA19347,GnomAD,AFR,LWK
NA19350,GnomAD,AFR,LWK
NA19351,GnomAD,AFR,LWK
NA19355,GnomAD,AFR,LWK
NA19360,GnomAD,AFR,LWK
NA19372,GnomAD,AFR,LWK
NA19374,GnomAD,AFR,LWK
NA19375,GnomAD,AFR,LWK
NA19376,GnomAD,AFR,LWK
NA19377,GnomAD,AFR,LWK
NA19378,GnomAD,AFR,LWK
NA19379,GnomAD,AFR,LWK
NA19380,GnomAD,AFR,LWK
NA19383,GnomAD,AFR,LWK
NA19384,GnomAD,AFR,LWK
NA19385,GnomAD,AFR,LWK
NA19390,GnomAD,AFR,LWK
NA19391,GnomAD,AFR,LWK
NA19393,GnomAD,AFR,LWK
NA19394,GnomAD,AFR,LWK
NA19397,GnomAD,AFR,LWK
NA19399,GnomAD,AFR,LWK
NA19401,GnomAD,AFR,LWK
NA19403,GnomAD,AFR,LWK
NA19404,GnomAD,AFR,LWK
NA19428,GnomAD,AFR,LWK
NA19429,GnomAD,AFR,LWK
NA19430,GnomAD,AFR,LWK
NA19431,GnomAD,AFR,LWK
NA19435,GnomAD,AFR,LWK
NA19436,GnomAD,AFR,LWK
NA19437,GnomAD,AFR,LWK
NA19438,GnomAD,AFR,LWK
NA19439,GnomAD,AFR,LWK
NA19440,GnomAD,AFR,LWK
NA19443,GnomAD,AFR,LWK
NA19445,GnomAD,AFR,LWK
NA19446,GnomAD,AFR,LWK
NA19448,GnomAD,AFR,LWK
NA19449,GnomAD,AFR,LWK
NA19451,GnomAD,AFR,LWK
NA19452,GnomAD,AFR,LWK
NA19454,GnomAD,AFR,LWK
NA19455,GnomAD,AFR,LWK
NA19456,GnomAD,AFR,LWK
NA19457,GnomAD,AFR,LWK
NA19461,GnomAD,AFR,LWK
NA19462,GnomAD,AFR,LWK
NA19463,GnomAD,AFR,LWK
NA19466,GnomAD,AFR,LWK
NA19467,GnomAD,AFR,LWK
NA19468,GnomAD,AFR,LWK
NA19471,GnomAD,AFR,LWK
NA19472,GnomAD,AFR,LWK
NA19473,GnomAD,AFR,LWK
NA19474,GnomAD,AFR,LWK
NA19475,GnomAD,AFR,LWK
NA19700,GnomAD,AFR,ASW
NA19701,GnomAD,AFR,ASW
NA19703,GnomAD,AFR,ASW
NA19704,GnomAD,AFR,ASW
NA19707,GnomAD,AFR,ASW
NA19711,GnomAD,AFR,ASW
NA19712,GnomAD,AFR,ASW
NA19713,GnomAD,AFR,ASW
NA19818,GnomAD,AFR,ASW
NA19819,GnomAD,AFR,ASW
NA19834,GnomAD,AFR,ASW
NA19835,GnomAD,AFR,ASW
NA19900,GnomAD,AFR,ASW
NA19901,GnomAD,AFR,ASW
NA19908,GnomAD,AFR,ASW
NA19909,GnomAD,AFR,ASW
NA19913,GnomAD,AFR,ASW
NA19914,GnomAD,AFR,ASW
NA19916,GnomAD,AFR,ASW
NA19917,GnomAD,AFR,ASW
NA19920,GnomAD,AFR,ASW
NA19921,GnomAD,AFR,ASW
NA19922,GnomAD,AFR,ASW
NA19923,GnomAD,AFR,ASW
NA19982,GnomAD,AFR,ASW
NA19984,GnomAD,AFR,ASW
NA20126,GnomAD,AFR,ASW
NA20127,GnomAD,AFR,ASW
NA20276,GnomAD,AFR,ASW
NA20278,GnomAD,AFR,ASW
NA20281,GnomAD,AFR,ASW
NA20282,GnomAD,AFR,ASW
NA20287,GnomAD,AFR,ASW
NA20289,GnomAD,AFR,ASW
NA20291,GnomAD,AFR,ASW
NA20294,GnomAD,AFR,ASW
NA20296,GnomAD,AFR,ASW
NA20298,GnomAD,AFR,ASW
NA20318,GnomAD,AFR,ASW
NA20320,GnomAD,AFR,ASW
NA20332,GnomAD,AFR,ASW
NA20334,GnomAD,AFR,ASW
NA20339,GnomAD,AFR,ASW
NA20340,GnomAD,AFR,ASW
NA20342,GnomAD,AFR,ASW
NA20346,GnomAD,AFR,ASW
NA20348,GnomAD,AFR,ASW
NA20351,GnomAD,AFR,ASW
NA20356,GnomAD,AFR,ASW
NA20357,GnomAD,AFR,ASW
NA20359,GnomAD,AFR,ASW
NA20412,GnomAD,AFR,ASW
SS6004470,GnomAD,AFR,Mandenka
SS6004473,GnomAD,AFR,San
SS6004475,GnomAD,AFR,Yoruba
